Brand,Rating,NumRatings,NumReviews,Price,RAM,ROM,Display,Processor,Camera,Warranty
Lenovo,4.3,5315,361,13999,4 GB RAM,128 GB ROM,27.94 cm (11.0 inch) Display,Mediatek Helio G88,13 MP Primary Camera | 8 MP Front,1 Year Comprehensive Warranty
Lenovo,4.4,765,39,16999,8 GB RAM,128 GB ROM,27.94 cm (11.0 inch) Display,MediaTek Helio G88,13 MP Primary Camera | 8 MP Front,1 Year Manufacturer Warranty from the Date of Purchase
Samsung,4.4,7878,684,21999,3 GB RAM,64 GB ROM,26.42 cm (10.4 inch) Full HD Display,Qualcomm Snapdragon 662,8 MP Primary Camera | 5 MP Front,1 Year Warranty Provided by the Manufacturer from Date of Purchase
Lenovo,4.4,1948,147,16998,4 GB RAM,128 GB ROM,27.94 cm (11 inch) Full HD Display,MediaTek Helio G90T,8 MP Primary Camera | 8 MP Front,1 Year Warranty on Tablet including Battery
MOTOROLA,4.2,13372,1168,17099,4 GB RAM,64 GB ROM,26.95 cm (10.61 inch) 2K Display,Snapdragon SDM680,8.0 MP Primary Camera | 8 MP Front,1 Year Warranty on Tablet including Battery
Samsung,4.3,2209,92,12999,4 GB RAM,64 GB ROM,22.1 cm (8.7 Inch) WQXGA Display,Meditek MT8781 (G99),8 MP Primary Camera | 2 MP Front,Apple One (1) Year Limited Warranty
Baatu,4.1,156,21,8199,4 GB RAM,64 GB ROM,25.65 cm (10.1 inch) HD Display,MediaTek,8 MP Primary Camera | 5 MP Front,Apple One (1) Year Limited Warranty
Nokia,4.1,81,6,10471,4 GB RAM,64 GB ROM,20.32 cm (8 inch) Display,Unisoc T606,8.0 MP Primary Camera,1 Year Manufacturer Warranty for Device and Battery and 6 Months Manufacturer Warranty for In-Box Accessories from the Date of Purchase
Lenovo,4.3,1143,96,13088,4 GB RAM,64 GB ROM,22.86 cm (9 Inch) HD Display,Mediatek G80,8 MP Primary Camera | 2 MP Front,1 Year Warranty on Tablet including Battery
I,4,3,0,10990,4 GB RAM,64 GB ROM,25.4 cm (10 inch) HD Display,MTK6757 Octa core,13 MP Primary Camera | 8 MP Front,1 Year Warranty Against Manufacturing Defects
I,3.5,48,4,7129,3 GB RAM,32 GB ROM,20.32 cm (8 inch) Display,MTK6757 Octa core,8 MP Primary Camera | 5 MP Front,Apple One (1) Year Limited Warranty
I,2.9,11,1,7099,3 GB RAM,32 GB ROM,20.32 cm (8 inch) Display,MTK6757 Octa core,8.0 MP Primary Camera | 5 MP Front,1 Year Manufacturing Warranty for Product and 6 Month on Accessories.
Samsung,4.6,118,4,90999,12 GB RAM,256 GB ROM,31.5 cm (12.4 inch) WQXGA+ Display,MediaTek Dimensity 9300,13 MP Primary Camera | 12 MP Front,1 Year Manufacturer Warranty for Device and 6 Months for in-box accessories
Apple,4.7,3491,258,59900,8GB,256GB,27.94 cm (11.0 inch) Display,A16 chip,12 MP Primary Camera | 12 MP Front,1 Year Brand Warranty
I,3.3,16,2,9057,4 GB RAM,64 GB ROM,25.4 cm (10 inch) HD Display,MTK6757 Octa core,13 MP Primary Camera | 8 MP Front,1 Year Warranty Against Manufacturing Defects
Apple,4.7,3491,258,44900,8GB,256GB,27.94 cm (11.0 inch) Display,A16 chip,12 MP Primary Camera | 12 MP Front,1 Year Brand Warranty
Lenovo,3.7,3,0,11999,4 GB RAM,64 GB ROM,27.94 cm (11 inch) Display,Mediatek Helio G88,8 MP Primary Camera,Apple One (1) Year Limited Warranty
Samsung,4.5,15726,1185,27490,4 GB RAM,64 GB ROM,26.42 cm (10.4 inch) Full HD Display,Qualcomm SDM720G (Octa-Core),8 MP Primary Camera | 5 MP Front,1 Year Manufacturer Warranty for Tablet and 6 Months Warranty for in the Box Accessories
Samsung,4.5,72,4,55999,8 GB RAM,128 GB ROM,33.27 cm (13.1 inch) WUXGA+ Display,Exynos 1580,13 Megapixels MP Primary Camera | 12 MP Front,1 Year Manufacturer Warranty for Device and 6 Months for in-box accessories
Lenovo,4.3,5315,361,14999,8 GB RAM,128 GB ROM,27.94 cm (11.0 inch) Display,Mediatek Helio G88,13 MP Primary Camera | 8 MP Front,1 Year Comprehensive Warranty
Lenovo,4.5,3700,403,18999,8.0 GB RAM,128 GB ROM,29.21 cm (11.5 inch) 2K Display,Mediatek Helio G99,8.0 MP Primary Camera | 8 MP Front,1 Year Warranty from Lenovo
Apple,4.7,3491,258,49900,8GB,256GB,27.94 cm (11.0 inch) Display,A16 chip,12 MP Primary Camera | 12 MP Front,1 Year Brand Warranty
Samsung,4.5,72,4,55999,8 GB RAM,128 GB ROM,33.27 cm (13.1 inch) WUXGA+ Display,Exynos 1580,13 Megapixels MP Primary Camera | 12 MP Front,1 Year Manufacturer Warranty for Device and 6 Months for in-box accessories
Apple,4.6,17849,920,34900,6GB,128GB,27.69 cm (10.9 inch) Full HD Display,A14 Bionic Chip (64-bit Architecture) with Neural Engine,12 MP Primary Camera | 12 MP Front,1 Year Limited Hardware Warranty
Lenovo,4.3,5315,361,13999,4 GB RAM,128 GB ROM,27.94 cm (11.0 inch) Display,Mediatek Helio G88,13 MP Primary Camera | 8 MP Front,1 Year Comprehensive Warranty
Lenovo,4.4,765,39,16999,8 GB RAM,128 GB ROM,27.94 cm (11.0 inch) Display,MediaTek Helio G88,13 MP Primary Camera | 8 MP Front,1 Year Manufacturer Warranty from the Date of Purchase
I,2.3,4,1,9057,4 GB RAM,64 GB ROM,25.4 cm (10 inch) HD Display,MTK6757 Octa core,13 MP Primary Camera | 8 MP Front,1 Year Warranty Against Manufacturing Defects
Lenovo,4.2,632,42,13699,6 GB RAM,128 GB ROM,26.95 cm (10.61 inch) 2K Display,Snapdragon SDM 6803,8 MP Primary Camera | 8 MP Front,1 Year Warranty on Tablet including Battery
Baatu,4.1,156,21,8199,4 GB RAM,64 GB ROM,25.65 cm (10.1 inch) HD Display,MediaTek,8 MP Primary Camera | 5 MP Front,Apple One (1) Year Limited Warranty
Apple,4.6,17849,920,34900,6GB,128GB,27.69 cm (10.9 inch) Full HD Display,A14 Bionic Chip (64-bit Architecture) with Neural Engine,12 MP Primary Camera | 12 MP Front,1 Year Limited Hardware Warranty
MOTOROLA,4.2,13372,1168,31000,4 GB RAM,128 GB ROM,26.95 cm (10.61 inch) 2K Display,Snapdragon SDM680,8.0 MP Primary Camera | 8 MP Front,1 Year Warranty on Tablet including Battery
