Brand,Rating,NumRatings,NumReviews,Price,RAM,ROM,Display,Processor,Camera,Warranty
Lenovo,4.5,3700,403,"₹18,999",8.0 GB RAM,128 GB ROM,29.21 cm (11.5 inch) 2K Display,Mediatek Helio G99,8.0 MP Primary Camera | 8 MP Front,1 Year Warranty from Lenovo
Samsung,4.3,2209,92,"₹12,490",4 GB RAM,64 GB ROM,22.1 cm (8.7 Inch) WQXGA Display,Meditek MT8781 (G99),8 MP Primary Camera | 2 MP Front,
Apple,4.6,17849,920,"₹34,900",,,27.69 cm (10.9 inch) Full HD Display,A14 Bionic Chip (64-bit Architecture) with Neural Engine,12 MP Primary Camera | 12 MP Front,1 Year Limited Hardware Warranty
Lenovo,4.3,5315,361,"₹13,999",4 GB RAM,128 GB ROM,27.94 cm (11.0 inch) Display,Mediatek Helio G88,13 MP Primary Camera | 8 MP Front,1 Year Comprehensive Warranty
Baatu,,,,"₹8,399",4 GB RAM,64 GB ROM,25.65 cm (10.1 inch) HD Display,MideaTek,8 MP Primary Camera | 5 MP Front,1 Year Hardware Warranty
OPPO,4.5,105,6,"₹13,999",4.0 GB RAM,128 GB ROM,27.81 cm (10.95 inch) WUXGA+ Display,MediaTek Helio G100,5 MP Primary Camera | 5 MP Front,1 Year Warranty on Handset and 6 Months Warranty on Accessories
OnePlus,4.6,7338,573,"₹37,999",8 GB RAM,128 GB ROM,29.49 cm (11.61 inch) Display,Mediatek Dimensity 9000,13 MP Primary Camera | 8 MP Front,1 Year Manufacturer Warranty
Samsung,4.5,31778,1196,"₹22,999",4 GB RAM,64 GB ROM,27.94 cm (11.0 inch) WQXGA Display,Snapdragon 695,8.0 MP Primary Camera | 5 MP Front,
OPPO,4.5,105,6,"₹13,999",4.0 GB RAM,128 GB ROM,27.81 cm (10.95 inch) WUXGA+ Display,MediaTek Helio G100,5 MP Primary Camera | 5 MP Front,1 Year Warranty on Handset and 6 Months Warranty on Accessories
Baatu,4.1,156,21,"₹8,199",4 GB RAM,64 GB ROM,25.65 cm (10.1 inch) HD Display,MediaTek,8 MP Primary Camera | 5 MP Front,
Lenovo,4.5,275,30,"₹39,999",12 GB RAM,256 GB ROM,22.35 cm (8.8 inch) Display,Qualcomm Snapdragon 8+ Gen 1,13 MP Primary Camera | 8 MP Front,1 Year Warranty from Lenovo
Xiaomi,4.6,14637,1067,"₹29,999",6 GB RAM,128 GB ROM,27.94 cm (11.0 inch) Display,Qualcomm Snapdragon 870,13.0 MP Primary Camera | 8 MP Front,
Samsung,4.8,33,2,"₹53,999",12 GB RAM,256 GB ROM,27.69 cm (10.9 inch) WUXGA+ Display,Exynos 1580,13 Megapixels MP Primary Camera | 12 MP Front,1 Year Manufacturer Warranty for Device and 6 Months for in-box accessories
Apple,4.7,3491,258,"₹49,900",,,27.94 cm (11.0 inch) Display,A16 chip,12 MP Primary Camera | 12 MP Front,1 Year Brand Warranty
Apple,4.7,3491,258,"₹33,900",,,27.94 cm (11.0 inch) Display,A16 chip,12 MP Primary Camera | 12 MP Front,1 Year Brand Warranty
Nokia,4.2,2461,300,"₹18,899",4 GB RAM,64 GB ROM,26.31 cm (10.36 inch) 2K Display,Unisoc T610,8.0 MP Primary Camera | 5 MP Front,
I,2.9,11,1,"₹7,099",3 GB RAM,32 GB ROM,20.32 cm (8 inch) Display,MTK6757 Octa core,8.0 MP Primary Camera | 5 MP Front,1 Year Manufacturing Warranty for Product and 6 Month on Accessories.
Lenovo,4.2,2059,151,"₹22,999",4 GB RAM,128 GB ROM,26.95 cm (10.61 inch) Display,Qualcomm Snapdragon 695,13 MP Primary Camera | 8 MP Front,1 Year Warranty on Tablet including Battery
Samsung,4.6,18725,823,"₹56,999",12 GB RAM,256 GB ROM,31.5 cm (12.4 Inch) WQXGA Display,Exynos 1380,8.0 MP Primary Camera | 12 MP Front,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories Including Batteries from the Date of Purchase
Lenovo,4.3,5315,361,"₹14,999",8 GB RAM,128 GB ROM,27.94 cm (11.0 inch) Display,Mediatek Helio G88,13 MP Primary Camera | 8 MP Front,1 Year Comprehensive Warranty
Lenovo,4.5,3700,403,"₹18,999",8.0 GB RAM,128 GB ROM,29.21 cm (11.5 inch) 2K Display,Mediatek Helio G99,8.0 MP Primary Camera | 8 MP Front,1 Year Warranty from Lenovo
I,4.4,5,1,"₹9,057",4 GB RAM,64 GB ROM,25.4 cm (10 inch) HD Display,MTK6757 Octa core,13 MP Primary Camera | 8 MP Front,1 Year Warranty Against Manufacturing Defects
OnePlus,4.6,1450,121,"₹36,999",8.0 GB RAM,128 GB ROM,30.73 cm (12.1 inch) Display,Snapdragon 8 Gen 3,13.0 MP Primary Camera | 8 MP Front,1 Year Manufacturer Warranty
Lenovo,4.3,5315,361,"₹13,999",4 GB RAM,128 GB ROM,27.94 cm (11.0 inch) Display,Mediatek Helio G88,13 MP Primary Camera | 8 MP Front,1 Year Comprehensive Warranty
Lenovo,4.4,765,39,"₹16,999",8 GB RAM,128 GB ROM,27.94 cm (11.0 inch) Display,MediaTek Helio G88,13 MP Primary Camera | 8 MP Front,1 Year Manufacturer Warranty from the Date of Purchase
Samsung,4.4,7878,684,"₹21,999",3 GB RAM,64 GB ROM,26.42 cm (10.4 inch) Full HD Display,Qualcomm Snapdragon 662,8 MP Primary Camera | 5 MP Front,1 Year Warranty Provided by the Manufacturer from Date of Purchase
Lenovo,4.4,1948,147,"₹16,998",4 GB RAM,128 GB ROM,27.94 cm (11 inch) Full HD Display,MediaTek Helio G90T,8 MP Primary Camera | 8 MP Front,1 Year Warranty on Tablet including Battery
MOTOROLA,4.2,13372,1168,"₹17,099",4 GB RAM,64 GB ROM,26.95 cm (10.61 inch) 2K Display,Snapdragon SDM680,8.0 MP Primary Camera | 8 MP Front,1 Year Warranty on Tablet including Battery
Samsung,4.3,2209,92,"₹12,999",4 GB RAM,64 GB ROM,22.1 cm (8.7 Inch) WQXGA Display,Meditek MT8781 (G99),8 MP Primary Camera | 2 MP Front,
Baatu,,,,"₹8,399",4 GB RAM,64 GB ROM,25.65 cm (10.1 inch) HD Display,MideaTek,8 MP Primary Camera | 5 MP Front,1 Year Hardware Warranty
Baatu,4.1,156,21,"₹8,199",4 GB RAM,64 GB ROM,25.65 cm (10.1 inch) HD Display,MediaTek,8 MP Primary Camera | 5 MP Front,
Nokia,4.1,81,6,"₹10,471",4 GB RAM,64 GB ROM,20.32 cm (8 inch) Display,Unisoc T606,8.0 MP Primary Camera,1 Year Manufacturer Warranty for Device and Battery and 6 Months Manufacturer Warranty for In-Box Accessories from the Date of Purchase
Lenovo,4.3,1143,96,"₹13,088",4 GB RAM,64 GB ROM,22.86 cm (9 Inch) HD Display,Mediatek G80,8 MP Primary Camera | 2 MP Front,1 Year Warranty on Tablet including Battery
I,4,3,0,"₹10,990",4 GB RAM,64 GB ROM,25.4 cm (10 inch) HD Display,MTK6757 Octa core,13 MP Primary Camera | 8 MP Front,1 Year Warranty Against Manufacturing Defects
I,3.5,48,4,"₹7,129",3 GB RAM,32 GB ROM,20.32 cm (8 inch) Display,MTK6757 Octa core,8 MP Primary Camera | 5 MP Front,
I,2.9,11,1,"₹7,099",3 GB RAM,32 GB ROM,20.32 cm (8 inch) Display,MTK6757 Octa core,8.0 MP Primary Camera | 5 MP Front,1 Year Manufacturing Warranty for Product and 6 Month on Accessories.
Samsung,4.6,118,4,"₹90,999",12 GB RAM,256 GB ROM,31.5 cm (12.4 inch) WQXGA+ Display,MediaTek Dimensity 9300,13 MP Primary Camera | 12 MP Front,1 Year Manufacturer Warranty for Device and 6 Months for in-box accessories
Apple,4.7,3491,258,"₹59,900",,,27.94 cm (11.0 inch) Display,A16 chip,12 MP Primary Camera | 12 MP Front,1 Year Brand Warranty
I,3.3,16,2,"₹9,057",4 GB RAM,64 GB ROM,25.4 cm (10 inch) HD Display,MTK6757 Octa core,13 MP Primary Camera | 8 MP Front,1 Year Warranty Against Manufacturing Defects
Apple,4.7,3491,258,"₹44,900",,,27.94 cm (11.0 inch) Display,A16 chip,12 MP Primary Camera | 12 MP Front,1 Year Brand Warranty
Lenovo,3.7,3,0,"₹11,999",4 GB RAM,64 GB ROM,27.94 cm (11 inch) Display,Mediatek Helio G88,8 MP Primary Camera,
Samsung,4.5,15726,1185,"₹27,490",4 GB RAM,64 GB ROM,26.42 cm (10.4 inch) Full HD Display,Qualcomm SDM720G (Octa-Core),8 MP Primary Camera | 5 MP Front,1 Year Manufacturer Warranty for Tablet and 6 Months Warranty for in the Box Accessories
Samsung,4.5,72,4,"₹55,999",8 GB RAM,128 GB ROM,33.27 cm (13.1 inch) WUXGA+ Display,Exynos 1580,13 Megapixels MP Primary Camera | 12 MP Front,1 Year Manufacturer Warranty for Device and 6 Months for in-box accessories
Lenovo,4.3,5315,361,"₹14,999",8 GB RAM,128 GB ROM,27.94 cm (11.0 inch) Display,Mediatek Helio G88,13 MP Primary Camera | 8 MP Front,1 Year Comprehensive Warranty
Lenovo,4.5,3700,403,"₹18,999",8.0 GB RAM,128 GB ROM,29.21 cm (11.5 inch) 2K Display,Mediatek Helio G99,8.0 MP Primary Camera | 8 MP Front,1 Year Warranty from Lenovo
Apple,4.7,3491,258,"₹49,900",,,27.94 cm (11.0 inch) Display,A16 chip,12 MP Primary Camera | 12 MP Front,1 Year Brand Warranty
Samsung,4.5,72,4,"₹55,999",8 GB RAM,128 GB ROM,33.27 cm (13.1 inch) WUXGA+ Display,Exynos 1580,13 Megapixels MP Primary Camera | 12 MP Front,1 Year Manufacturer Warranty for Device and 6 Months for in-box accessories
I,,,,"₹9,901",4 GB RAM,64 GB ROM,25.4 cm (10 inch) HD Display,MTK6757 Octa core,13 MP Primary Camera | 8 MP Front,1 Year Warranty Against Manufacturing Defects
Apple,4.6,17849,920,"₹34,900",,,27.69 cm (10.9 inch) Full HD Display,A14 Bionic Chip (64-bit Architecture) with Neural Engine,12 MP Primary Camera | 12 MP Front,1 Year Limited Hardware Warranty
Lenovo,4.3,5315,361,"₹13,999",4 GB RAM,128 GB ROM,27.94 cm (11.0 inch) Display,Mediatek Helio G88,13 MP Primary Camera | 8 MP Front,1 Year Comprehensive Warranty
Lenovo,4.4,765,39,"₹16,999",8 GB RAM,128 GB ROM,27.94 cm (11.0 inch) Display,MediaTek Helio G88,13 MP Primary Camera | 8 MP Front,1 Year Manufacturer Warranty from the Date of Purchase
I,2.3,4,1,"₹9,057",4 GB RAM,64 GB ROM,25.4 cm (10 inch) HD Display,MTK6757 Octa core,13 MP Primary Camera | 8 MP Front,1 Year Warranty Against Manufacturing Defects
Lenovo,4.2,632,42,"₹13,699",6 GB RAM,128 GB ROM,26.95 cm (10.61 inch) 2K Display,Snapdragon SDM 6803,8 MP Primary Camera | 8 MP Front,1 Year Warranty on Tablet including Battery
Baatu,,,,"₹8,399",4 GB RAM,64 GB ROM,25.65 cm (10.1 inch) HD Display,MideaTek,8 MP Primary Camera | 5 MP Front,1 Year Hardware Warranty
Baatu,4.1,156,21,"₹8,199",4 GB RAM,64 GB ROM,25.65 cm (10.1 inch) HD Display,MediaTek,8 MP Primary Camera | 5 MP Front,
Apple,4.6,17849,920,"₹34,900",,,27.69 cm (10.9 inch) Full HD Display,A14 Bionic Chip (64-bit Architecture) with Neural Engine,12 MP Primary Camera | 12 MP Front,1 Year Limited Hardware Warranty
MOTOROLA,4.2,13372,1168,"₹31,000",4 GB RAM,128 GB ROM,26.95 cm (10.61 inch) 2K Display,Snapdragon SDM680,8.0 MP Primary Camera | 8 MP Front,1 Year Warranty on Tablet including Battery
